support,itemsets
0.16046666666666667,frozenset({'Apple'})
0.16303333333333334,frozenset({'Banana'})
0.16496666666666668,frozenset({'Beans'})
0.16233333333333333,frozenset({'Bread'})
0.16203333333333333,frozenset({'Butter'})
0.23273333333333332,frozenset({'Cereal'})
0.16526666666666667,frozenset({'Cheese'})
0.16603333333333334,frozenset({'Chicken'})
0.1637,frozenset({'Chickpeas'})
0.1617,frozenset({'Chips'})
0.1608,frozenset({'Chocolate'})
0.16336666666666666,frozenset({'Cola'})
0.16393333333333332,frozenset({'Cookie'})
0.16236666666666666,frozenset({'Cracker'})
0.15993333333333334,frozenset({'Cucumber'})
0.15736666666666665,frozenset({'Detergent'})
0.16256666666666666,frozenset({'Dish Sponge'})
0.1626,frozenset({'Dumpling'})
0.1621,frozenset({'Egg'})
0.1636,frozenset({'Fish'})
0.16263333333333332,frozenset({'Flatbread with Meat'})
0.1612,frozenset({'Honey'})
0.16793333333333332,frozenset({'Ice Cream'})
0.1653,frozenset({'Juice'})
0.1617,frozenset({'Lentil'})
0.16266666666666665,frozenset({'Milk'})
0.1631,frozenset({'Minced Meat'})
0.1624,frozenset({'Onion'})
0.16483333333333333,frozenset({'Orange'})
0.15943333333333334,frozenset({'Pizza'})
0.16206666666666666,frozenset({'Potato'})
0.16266666666666665,frozenset({'Rice'})
0.1644,frozenset({'Sausage'})
0.16176666666666667,frozenset({'Shampoo'})
0.16506666666666667,frozenset({'Soap'})
0.1658,frozenset({'Soda'})
0.16346666666666668,frozenset({'Strawberry'})
0.16256666666666666,frozenset({'Tomato'})
0.15996666666666667,frozenset({'Water'})
0.16376666666666667,frozenset({'Yogurt'})
0.0261,"frozenset({'Apple', 'Banana'})"
0.0259,"frozenset({'Apple', 'Beans'})"
0.024833333333333332,"frozenset({'Apple', 'Bread'})"
0.025533333333333335,"frozenset({'Apple', 'Butter'})"
0.0355,"frozenset({'Apple', 'Cereal'})"
0.027166666666666665,"frozenset({'Apple', 'Cheese'})"
0.027066666666666666,"frozenset({'Apple', 'Chicken'})"
0.0282,"frozenset({'Apple', 'Chickpeas'})"
0.0241,"frozenset({'Apple', 'Chips'})"
0.026166666666666668,"frozenset({'Apple', 'Chocolate'})"
0.025666666666666667,"frozenset({'Apple', 'Cola'})"
0.025933333333333333,"frozenset({'Apple', 'Cookie'})"
0.027333333333333334,"frozenset({'Apple', 'Cracker'})"
0.0255,"frozenset({'Apple', 'Cucumber'})"
0.026166666666666668,"frozenset({'Apple', 'Detergent'})"
0.0259,"frozenset({'Apple', 'Dish Sponge'})"
0.026266666666666667,"frozenset({'Apple', 'Dumpling'})"
0.0253,"frozenset({'Apple', 'Egg'})"
0.0269,"frozenset({'Apple', 'Fish'})"
0.0266,"frozenset({'Apple', 'Flatbread with Meat'})"
0.026333333333333334,"frozenset({'Apple', 'Honey'})"
0.027066666666666666,"frozenset({'Apple', 'Ice Cream'})"
0.026266666666666667,"frozenset({'Apple', 'Juice'})"
0.0255,"frozenset({'Apple', 'Lentil'})"
0.025533333333333335,"frozenset({'Apple', 'Milk'})"
0.025966666666666666,"frozenset({'Apple', 'Minced Meat'})"
0.0249,"frozenset({'Apple', 'Onion'})"
0.026566666666666666,"frozenset({'Apple', 'Orange'})"
0.025533333333333335,"frozenset({'Apple', 'Pizza'})"
0.0259,"frozenset({'Apple', 'Potato'})"
0.026033333333333332,"frozenset({'Apple', 'Rice'})"
0.027533333333333333,"frozenset({'Apple', 'Sausage'})"
0.0261,"frozenset({'Apple', 'Shampoo'})"
0.026766666666666668,"frozenset({'Apple', 'Soap'})"
0.0268,"frozenset({'Apple', 'Soda'})"
0.0248,"frozenset({'Apple', 'Strawberry'})"
0.025466666666666665,"frozenset({'Apple', 'Tomato'})"
0.024566666666666667,"frozenset({'Apple', 'Water'})"
0.026233333333333334,"frozenset({'Apple', 'Yogurt'})"
0.028366666666666665,"frozenset({'Banana', 'Beans'})"
0.026,"frozenset({'Banana', 'Bread'})"
0.02666666666666667,"frozenset({'Banana', 'Butter'})"
0.037366666666666666,"frozenset({'Cereal', 'Banana'})"
0.026066666666666665,"frozenset({'Cheese', 'Banana'})"
0.026966666666666667,"frozenset({'Chicken', 'Banana'})"
0.026733333333333335,"frozenset({'Banana', 'Chickpeas'})"
0.026566666666666666,"frozenset({'Chips', 'Banana'})"
0.025833333333333333,"frozenset({'Chocolate', 'Banana'})"
0.0269,"frozenset({'Banana', 'Cola'})"
0.027633333333333333,"frozenset({'Cookie', 'Banana'})"
0.02666666666666667,"frozenset({'Banana', 'Cracker'})"
0.025333333333333333,"frozenset({'Banana', 'Cucumber'})"
0.027166666666666665,"frozenset({'Banana', 'Detergent'})"
0.0264,"frozenset({'Banana', 'Dish Sponge'})"
0.027933333333333334,"frozenset({'Banana', 'Dumpling'})"
0.027033333333333333,"frozenset({'Banana', 'Egg'})"
0.0264,"frozenset({'Fish', 'Banana'})"
0.027333333333333334,"frozenset({'Flatbread with Meat', 'Banana'})"
0.027533333333333333,"frozenset({'Honey', 'Banana'})"
0.026366666666666667,"frozenset({'Ice Cream', 'Banana'})"
0.0265,"frozenset({'Banana', 'Juice'})"
0.025866666666666666,"frozenset({'Lentil', 'Banana'})"
0.026866666666666667,"frozenset({'Banana', 'Milk'})"
0.0271,"frozenset({'Banana', 'Minced Meat'})"
0.0258,"frozenset({'Banana', 'Onion'})"
0.0267,"frozenset({'Orange', 'Banana'})"
0.026866666666666667,"frozenset({'Pizza', 'Banana'})"
0.025833333333333333,"frozenset({'Banana', 'Potato'})"
0.025833333333333333,"frozenset({'Rice', 'Banana'})"
0.026933333333333333,"frozenset({'Banana', 'Sausage'})"
0.0258,"frozenset({'Banana', 'Shampoo'})"
0.025933333333333333,"frozenset({'Banana', 'Soap'})"
0.026933333333333333,"frozenset({'Soda', 'Banana'})"
0.026566666666666666,"frozenset({'Banana', 'Strawberry'})"
0.024633333333333333,"frozenset({'Tomato', 'Banana'})"
0.025266666666666666,"frozenset({'Water', 'Banana'})"
0.026233333333333334,"frozenset({'Banana', 'Yogurt'})"
0.0259,"frozenset({'Beans', 'Bread'})"
0.027333333333333334,"frozenset({'Beans', 'Butter'})"
0.03866666666666667,"frozenset({'Cereal', 'Beans'})"
