support,itemsets
0.1604666666666666,Apple
0.1630333333333333,Banana
0.1649666666666666,Beans
0.1623333333333333,Bread
0.1620333333333333,Butter
0.2327333333333333,Cereal
0.1652666666666666,Cheese
0.1660333333333333,Chicken
0.1637,Chickpeas
0.1617,Chips
0.1608,Chocolate
0.1633666666666666,Cola
0.1639333333333333,Cookie
0.1623666666666666,Cracker
0.1599333333333333,Cucumber
0.1573666666666666,Detergent
0.1625666666666666,Dish Sponge
0.1626,Dumpling
0.1621,Egg
0.1636,Fish
0.1626333333333333,Flatbread with Meat
0.1612,Honey
0.1679333333333333,Ice Cream
0.1653,Juice
0.1617,Lentil
0.1626666666666666,Milk
0.1631,Minced Meat
0.1624,Onion
0.1648333333333333,Orange
0.1594333333333333,Pizza
0.1620666666666666,Potato
0.1626666666666666,Rice
0.1644,Sausage
0.1617666666666666,Shampoo
0.1650666666666666,Soap
0.1658,Soda
0.1634666666666666,Strawberry
0.1625666666666666,Tomato
0.1599666666666666,Water
0.1637666666666666,Yogurt
0.0261,"Apple, Banana"
0.0259,"Apple, Beans"
0.0248333333333333,"Apple, Bread"
0.0255333333333333,"Apple, Butter"
0.0355,"Apple, Cereal"
0.0271666666666666,"Apple, Cheese"
0.0270666666666666,"Apple, Chicken"
0.0282,"Apple, Chickpeas"
0.0241,"Apple, Chips"
0.0261666666666666,"Apple, Chocolate"
0.0256666666666666,"Apple, Cola"
0.0259333333333333,"Apple, Cookie"
0.0273333333333333,"Apple, Cracker"
0.0255,"Apple, Cucumber"
0.0261666666666666,"Apple, Detergent"
0.0259,"Apple, Dish Sponge"
0.0262666666666666,"Apple, Dumpling"
0.0253,"Apple, Egg"
0.0269,"Apple, Fish"
0.0266,"Apple, Flatbread with Meat"
0.0263333333333333,"Apple, Honey"
0.0270666666666666,"Apple, Ice Cream"
0.0262666666666666,"Apple, Juice"
0.0255,"Apple, Lentil"
0.0255333333333333,"Apple, Milk"
0.0259666666666666,"Apple, Minced Meat"
0.0249,"Apple, Onion"
0.0265666666666666,"Apple, Orange"
0.0255333333333333,"Apple, Pizza"
0.0259,"Apple, Potato"
0.0260333333333333,"Apple, Rice"
0.0275333333333333,"Apple, Sausage"
0.0261,"Apple, Shampoo"
0.0267666666666666,"Apple, Soap"
0.0268,"Apple, Soda"
0.0248,"Apple, Strawberry"
0.0254666666666666,"Apple, Tomato"
0.0245666666666666,"Apple, Water"
0.0262333333333333,"Apple, Yogurt"
0.0283666666666666,"Banana, Beans"
0.026,"Banana, Bread"
0.0266666666666666,"Banana, Butter"
0.0373666666666666,"Cereal, Banana"
0.0260666666666666,"Cheese, Banana"
0.0269666666666666,"Chicken, Banana"
0.0267333333333333,"Banana, Chickpeas"
0.0265666666666666,"Chips, Banana"
0.0258333333333333,"Chocolate, Banana"
0.0269,"Banana, Cola"
0.0276333333333333,"Cookie, Banana"
0.0266666666666666,"Banana, Cracker"
0.0253333333333333,"Banana, Cucumber"
0.0271666666666666,"Banana, Detergent"
0.0264,"Banana, Dish Sponge"
0.0279333333333333,"Banana, Dumpling"
0.0270333333333333,"Banana, Egg"
0.0264,"Fish, Banana"
0.0273333333333333,"Flatbread with Meat, Banana"
0.0275333333333333,"Honey, Banana"
0.0263666666666666,"Ice Cream, Banana"
0.0265,"Banana, Juice"
0.0258666666666666,"Lentil, Banana"
0.0268666666666666,"Banana, Milk"
0.0271,"Banana, Minced Meat"
0.0258,"Banana, Onion"
0.0267,"Orange, Banana"
0.0268666666666666,"Pizza, Banana"
0.0258333333333333,"Banana, Potato"
0.0258333333333333,"Rice, Banana"
0.0269333333333333,"Banana, Sausage"
0.0258,"Banana, Shampoo"
0.0259333333333333,"Banana, Soap"
0.0269333333333333,"Soda, Banana"
0.0265666666666666,"Banana, Strawberry"
0.0246333333333333,"Tomato, Banana"
0.0252666666666666,"Water, Banana"
0.0262333333333333,"Banana, Yogurt"
0.0259,"Beans, Bread"
0.0273333333333333,"Beans, Butter"
